prob_class_0,prob_class_1,class_labels,is_member
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.96,0.04,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.98,0.02,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.99,0.01,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.02,0.98,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.1,0.9,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.01,0.99,1.0,1
0.96,0.04,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.01,0.99,1.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.98,0.02,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.98,0.02,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.03,0.97,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
0.03,0.97,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.01,0.99,1.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.99,0.01,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.02,0.98,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.01,0.99,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.01,0.99,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.01,0.99,1.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.96,0.04,0.0,1
1.0,0.0,0.0,1
0.1,0.9,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.05,0.95,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.01,0.99,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.01,0.99,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.03,0.97,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.99,0.01,0.0,1
1.0,0.0,0.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
0.01,0.99,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.99,0.01,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.99,0.01,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.98,0.02,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.93,0.07,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.01,0.99,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
0.99,0.01,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
1.0,0.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,1.0,1
0.02,0.98,1.0,1
0.04,0.96,1.0,1
0.0,1.0,1.0,1
0.0,1.0,1.0,1
0.94,0.06,0.0,1
0.99,0.01,0.0,1
1.0,0.0,0.0,1
